X;BRCA;COAD;KIRC;LUAD;PRAD
sample_0;0;0;0;0;1
sample_1;0;0;0;1;0
sample_2;0;0;0;0;1
sample_3;0;0;0;0;1
sample_4;1;0;0;0;0
sample_5;0;0;0;0;1
sample_6;0;0;1;0;0
sample_7;0;0;0;0;1
sample_8;1;0;0;0;0
sample_9;0;0;0;0;1
sample_10;1;0;0;0;0
sample_11;0;0;1;0;0
sample_12;0;0;0;0;1
sample_13;1;0;0;0;0
sample_14;1;0;0;0;0
sample_15;1;0;0;0;0
sample_16;0;0;0;1;0
sample_17;0;0;1;0;0
sample_18;0;0;1;0;0
sample_19;0;0;0;0;1
sample_20;1;0;0;0;0
sample_21;0;0;1;0;0
sample_22;0;0;0;1;0
sample_23;1;0;0;0;0
sample_24;0;0;1;0;0
sample_25;0;0;0;1;0
sample_26;0;1;0;0;0
sample_27;1;0;0;0;0
sample_28;1;0;0;0;0
sample_29;1;0;0;0;0
sample_30;1;0;0;0;0
sample_31;1;0;0;0;0
sample_32;0;0;1;0;0
sample_33;1;0;0;0;0
sample_34;0;0;0;0;1
sample_35;1;0;0;0;0
sample_36;0;0;1;0;0
sample_37;0;0;0;1;0
sample_38;1;0;0;0;0
sample_39;1;0;0;0;0
sample_40;0;0;1;0;0
sample_41;0;0;0;0;1
sample_42;0;0;0;0;1
sample_43;0;0;1;0;0
sample_44;0;0;1;0;0
sample_45;1;0;0;0;0
sample_46;0;0;0;0;1
sample_47;0;1;0;0;0
sample_48;1;0;0;0;0
sample_49;0;0;0;1;0
sample_50;1;0;0;0;0
sample_51;0;0;0;1;0
sample_52;1;0;0;0;0
sample_53;0;0;0;0;1
sample_54;0;1;0;0;0
sample_55;1;0;0;0;0
sample_56;1;0;0;0;0
sample_57;0;1;0;0;0
sample_58;0;0;1;0;0
sample_59;1;0;0;0;0
sample_60;0;0;0;1;0
sample_61;0;0;1;0;0
sample_62;1;0;0;0;0
sample_63;0;0;0;1;0
sample_64;0;0;0;0;1
sample_65;0;1;0;0;0
sample_66;1;0;0;0;0
sample_67;0;0;0;0;1
sample_68;0;0;1;0;0
sample_69;1;0;0;0;0
sample_70;0;0;1;0;0
sample_71;1;0;0;0;0
sample_72;1;0;0;0;0
sample_73;0;0;0;1;0
sample_74;1;0;0;0;0
sample_75;0;0;0;1;0
sample_76;1;0;0;0;0
sample_77;0;0;1;0;0
sample_78;0;0;0;0;1
sample_79;0;1;0;0;0
sample_80;1;0;0;0;0
sample_81;0;0;0;0;1
sample_82;1;0;0;0;0
sample_83;1;0;0;0;0
sample_84;0;0;0;0;1
sample_85;0;0;0;0;1
sample_86;1;0;0;0;0
sample_87;1;0;0;0;0
sample_88;0;0;1;0;0
sample_89;1;0;0;0;0
sample_90;0;0;0;0;1
sample_91;0;0;0;0;1
sample_92;1;0;0;0;0
sample_93;1;0;0;0;0
sample_94;1;0;0;0;0
sample_95;0;0;0;0;1
sample_96;0;1;0;0;0
sample_97;1;0;0;0;0
sample_98;0;0;0;0;1
sample_99;1;0;0;0;0
sample_100;1;0;0;0;0
sample_101;0;0;1;0;0
sample_102;1;0;0;0;0
sample_103;0;0;1;0;0
sample_104;0;0;0;1;0
sample_105;0;0;1;0;0
sample_106;0;0;0;1;0
sample_107;0;1;0;0;0
sample_108;0;0;0;1;0
sample_109;0;0;0;1;0
sample_110;0;0;0;0;1
sample_111;1;0;0;0;0
sample_112;0;0;0;1;0
sample_113;0;0;0;0;1
sample_114;1;0;0;0;0
sample_115;0;0;1;0;0
sample_116;0;0;1;0;0
sample_117;0;0;1;0;0
sample_118;1;0;0;0;0
sample_119;1;0;0;0;0
sample_120;0;0;0;1;0
sample_121;0;0;1;0;0
sample_122;0;0;0;1;0
sample_123;1;0;0;0;0
sample_124;0;0;0;0;1
sample_125;0;0;0;0;1
sample_126;0;0;0;0;1
sample_127;1;0;0;0;0
sample_128;0;0;1;0;0
sample_129;0;0;0;1;0
sample_130;0;1;0;0;0
sample_131;1;0;0;0;0
sample_132;0;1;0;0;0
sample_133;1;0;0;0;0
sample_134;1;0;0;0;0
sample_135;0;0;1;0;0
sample_136;0;0;0;1;0
sample_137;1;0;0;0;0
sample_138;0;0;1;0;0
sample_139;0;1;0;0;0
sample_140;1;0;0;0;0
sample_141;0;0;0;0;1
sample_142;1;0;0;0;0
sample_143;0;0;1;0;0
sample_144;0;0;0;1;0
sample_145;0;1;0;0;0
sample_146;0;0;0;0;1
sample_147;1;0;0;0;0
sample_148;0;0;0;1;0
sample_149;0;0;0;1;0
sample_150;0;0;0;1;0
sample_151;0;0;0;1;0
sample_152;1;0;0;0;0
sample_153;1;0;0;0;0
sample_154;0;0;0;1;0
sample_155;1;0;0;0;0
sample_156;1;0;0;0;0
sample_157;0;0;0;0;1
sample_158;0;0;0;0;1
sample_159;0;0;0;1;0
sample_160;0;0;0;0;1
sample_161;0;0;0;1;0
sample_162;0;0;1;0;0
sample_163;1;0;0;0;0
sample_164;0;0;0;0;1
sample_165;0;0;0;1;0
sample_166;0;1;0;0;0
sample_167;0;0;1;0;0
sample_168;0;0;0;1;0
sample_169;1;0;0;0;0
sample_170;0;0;1;0;0
sample_171;0;0;0;1;0
sample_172;1;0;0;0;0
sample_173;0;0;0;1;0
sample_174;1;0;0;0;0
sample_175;1;0;0;0;0
sample_176;1;0;0;0;0
sample_177;0;0;0;0;1
sample_178;1;0;0;0;0
sample_179;0;0;1;0;0
sample_180;0;1;0;0;0
sample_181;0;0;1;0;0
sample_182;1;0;0;0;0
sample_183;0;0;0;0;1
sample_184;0;0;0;0;1
sample_185;0;0;0;0;1
sample_186;0;0;0;1;0
sample_187;0;0;0;1;0
sample_188;1;0;0;0;0
sample_189;0;0;0;1;0
sample_190;0;0;0;1;0
sample_191;0;0;1;0;0
sample_192;0;0;0;1;0
sample_193;0;0;0;0;1
sample_194;0;0;0;1;0
sample_195;1;0;0;0;0
sample_196;1;0;0;0;0
sample_197;1;0;0;0;0
sample_198;0;0;0;1;0
sample_199;0;0;0;1;0
sample_200;1;0;0;0;0
sample_201;0;0;1;0;0
sample_202;0;0;1;0;0
sample_203;0;0;1;0;0
sample_204;0;0;1;0;0
sample_205;0;0;0;0;1
sample_206;1;0;0;0;0
sample_207;0;0;0;0;1
sample_208;1;0;0;0;0
sample_209;0;0;0;1;0
sample_210;0;0;0;1;0
sample_211;1;0;0;0;0
sample_212;0;0;0;0;1
sample_213;1;0;0;0;0
sample_214;0;0;0;0;1
sample_215;1;0;0;0;0
sample_216;1;0;0;0;0
sample_217;1;0;0;0;0
sample_218;0;0;0;1;0
sample_219;1;0;0;0;0
sample_220;0;0;1;0;0
sample_221;0;0;0;1;0
sample_222;0;0;1;0;0
sample_223;0;0;1;0;0
sample_224;0;0;0;1;0
sample_225;1;0;0;0;0
sample_226;0;0;1;0;0
sample_227;0;0;0;0;1
sample_228;1;0;0;0;0
sample_229;0;0;0;1;0
sample_230;0;0;0;1;0
sample_231;0;0;0;0;1
sample_232;0;1;0;0;0
sample_233;1;0;0;0;0
sample_234;0;0;1;0;0
sample_235;0;0;0;0;1
sample_236;0;0;1;0;0
sample_237;0;1;0;0;0
sample_238;1;0;0;0;0
sample_239;0;0;1;0;0
sample_240;0;0;1;0;0
sample_241;0;0;0;1;0
sample_242;0;0;0;0;1
sample_243;0;0;0;0;1
sample_244;0;0;0;1;0
sample_245;0;0;0;1;0
sample_246;0;0;1;0;0
sample_247;1;0;0;0;0
sample_248;1;0;0;0;0
sample_249;0;1;0;0;0
sample_250;1;0;0;0;0
sample_251;0;0;0;0;1
sample_252;0;1;0;0;0
sample_253;1;0;0;0;0
sample_254;0;0;0;0;1
sample_255;0;0;1;0;0
sample_256;0;0;0;0;1
sample_257;0;0;0;0;1
sample_258;0;0;0;0;1
sample_259;1;0;0;0;0
sample_260;0;1;0;0;0
sample_261;0;1;0;0;0
sample_262;0;0;0;1;0
sample_263;0;1;0;0;0
sample_264;0;1;0;0;0
sample_265;0;0;0;0;1
sample_266;0;0;0;1;0
sample_267;1;0;0;0;0
sample_268;1;0;0;0;0
sample_269;0;0;1;0;0
sample_270;0;0;1;0;0
sample_271;1;0;0;0;0
sample_272;0;1;0;0;0
sample_273;0;0;0;0;1
sample_274;0;0;1;0;0
sample_275;0;0;0;0;1
sample_276;1;0;0;0;0
sample_277;1;0;0;0;0
sample_278;0;0;1;0;0
sample_279;1;0;0;0;0
sample_280;1;0;0;0;0
sample_281;1;0;0;0;0
sample_282;1;0;0;0;0
sample_283;0;0;0;1;0
sample_284;0;0;0;1;0
sample_285;1;0;0;0;0
sample_286;1;0;0;0;0
sample_287;1;0;0;0;0
sample_288;0;0;1;0;0
sample_289;0;0;1;0;0
sample_290;0;0;1;0;0
sample_291;0;0;1;0;0
sample_292;1;0;0;0;0
sample_293;1;0;0;0;0
sample_294;1;0;0;0;0
sample_295;0;0;1;0;0
sample_296;1;0;0;0;0
sample_297;1;0;0;0;0
sample_298;0;0;0;1;0
sample_299;0;0;0;0;1
sample_300;1;0;0;0;0
sample_301;1;0;0;0;0
sample_302;0;1;0;0;0
sample_303;0;0;0;1;0
sample_304;0;0;0;0;1
sample_305;1;0;0;0;0
sample_306;1;0;0;0;0
sample_307;1;0;0;0;0
sample_308;0;1;0;0;0
sample_309;1;0;0;0;0
sample_310;0;0;0;0;1
sample_311;1;0;0;0;0
sample_312;0;1;0;0;0
sample_313;0;0;0;1;0
sample_314;0;0;0;1;0
sample_315;0;0;0;0;1
sample_316;0;0;1;0;0
sample_317;1;0;0;0;0
sample_318;0;0;1;0;0
sample_319;0;0;1;0;0
sample_320;0;0;0;1;0
sample_321;0;1;0;0;0
sample_322;0;0;1;0;0
sample_323;1;0;0;0;0
sample_324;1;0;0;0;0
sample_325;1;0;0;0;0
sample_326;1;0;0;0;0
sample_327;0;0;1;0;0
sample_328;1;0;0;0;0
sample_329;1;0;0;0;0
sample_330;0;0;0;0;1
sample_331;1;0;0;0;0
sample_332;0;0;1;0;0
sample_333;1;0;0;0;0
sample_334;0;0;0;1;0
sample_335;0;0;0;0;1
sample_336;0;0;1;0;0
sample_337;1;0;0;0;0
sample_338;0;0;0;0;1
sample_339;0;1;0;0;0
sample_340;1;0;0;0;0
sample_341;1;0;0;0;0
sample_342;1;0;0;0;0
sample_343;0;0;0;1;0
sample_344;0;0;0;1;0
sample_345;0;0;0;1;0
sample_346;1;0;0;0;0
sample_347;1;0;0;0;0
sample_348;0;0;0;0;1
sample_349;0;0;0;1;0
sample_350;1;0;0;0;0
sample_351;0;0;1;0;0
sample_352;1;0;0;0;0
sample_353;0;1;0;0;0
sample_354;0;1;0;0;0
sample_355;0;0;0;1;0
sample_356;1;0;0;0;0
sample_357;0;0;1;0;0
sample_358;1;0;0;0;0
sample_359;1;0;0;0;0
sample_360;1;0;0;0;0
sample_361;0;1;0;0;0
sample_362;0;0;0;1;0
sample_363;0;1;0;0;0
sample_364;0;0;1;0;0
sample_365;0;0;0;0;1
sample_366;0;0;1;0;0
sample_367;1;0;0;0;0
sample_368;1;0;0;0;0
sample_369;0;0;1;0;0
sample_370;1;0;0;0;0
sample_371;0;1;0;0;0
sample_372;0;0;0;0;1
sample_373;0;0;0;1;0
sample_374;0;0;0;0;1
sample_375;1;0;0;0;0
sample_376;0;0;1;0;0
sample_377;0;0;0;0;1
sample_378;1;0;0;0;0
sample_379;0;1;0;0;0
sample_380;0;0;1;0;0
sample_381;0;0;1;0;0
sample_382;0;1;0;0;0
sample_383;0;1;0;0;0
sample_384;0;0;0;0;1
sample_385;1;0;0;0;0
sample_386;1;0;0;0;0
sample_387;0;1;0;0;0
sample_388;0;0;1;0;0
sample_389;1;0;0;0;0
sample_390;0;0;0;0;1
sample_391;1;0;0;0;0
sample_392;1;0;0;0;0
sample_393;1;0;0;0;0
sample_394;0;0;0;1;0
sample_395;0;0;0;1;0
sample_396;0;0;1;0;0
sample_397;0;0;0;1;0
sample_398;1;0;0;0;0
sample_399;0;0;1;0;0
sample_400;0;1;0;0;0
sample_401;0;0;0;0;1
sample_402;1;0;0;0;0
sample_403;0;0;0;1;0
sample_404;0;0;0;0;1
sample_405;1;0;0;0;0
sample_406;1;0;0;0;0
sample_407;1;0;0;0;0
sample_408;0;0;0;1;0
sample_409;1;0;0;0;0
sample_410;1;0;0;0;0
sample_411;0;0;0;0;1
sample_412;1;0;0;0;0
sample_413;0;0;0;0;1
sample_414;0;1;0;0;0
sample_415;1;0;0;0;0
sample_416;0;0;0;1;0
sample_417;1;0;0;0;0
sample_418;1;0;0;0;0
sample_419;0;0;0;1;0
sample_420;1;0;0;0;0
sample_421;1;0;0;0;0
sample_422;1;0;0;0;0
sample_423;0;0;1;0;0
sample_424;0;0;0;1;0
sample_425;0;0;0;0;1
sample_426;1;0;0;0;0
sample_427;0;0;0;0;1
sample_428;0;0;1;0;0
sample_429;1;0;0;0;0
sample_430;0;0;1;0;0
sample_431;0;1;0;0;0
sample_432;1;0;0;0;0
sample_433;0;0;0;0;1
sample_434;0;0;0;1;0
sample_435;0;0;1;0;0
sample_436;1;0;0;0;0
sample_437;1;0;0;0;0
sample_438;0;0;1;0;0
sample_439;1;0;0;0;0
sample_440;0;0;0;1;0
sample_441;1;0;0;0;0
sample_442;1;0;0;0;0
sample_443;0;0;0;0;1
sample_444;0;1;0;0;0
sample_445;1;0;0;0;0
sample_446;0;0;1;0;0
sample_447;0;0;0;1;0
sample_448;0;0;0;0;1
sample_449;1;0;0;0;0
sample_450;0;0;0;0;1
sample_451;1;0;0;0;0
sample_452;1;0;0;0;0
sample_453;1;0;0;0;0
sample_454;1;0;0;0;0
sample_455;0;0;1;0;0
sample_456;0;0;0;1;0
sample_457;1;0;0;0;0
sample_458;0;0;1;0;0
sample_459;1;0;0;0;0
sample_460;1;0;0;0;0
sample_461;0;0;0;1;0
sample_462;0;0;0;1;0
sample_463;0;0;1;0;0
sample_464;0;1;0;0;0
sample_465;0;0;0;0;1
sample_466;0;1;0;0;0
sample_467;1;0;0;0;0
sample_468;0;0;1;0;0
sample_469;0;0;1;0;0
sample_470;1;0;0;0;0
sample_471;0;0;0;0;1
sample_472;0;0;1;0;0
sample_473;0;1;0;0;0
sample_474;0;0;0;1;0
sample_475;0;0;0;1;0
sample_476;1;0;0;0;0
sample_477;0;0;0;0;1
sample_478;0;0;0;0;1
sample_479;1;0;0;0;0
sample_480;0;0;0;0;1
sample_481;0;0;0;1;0
sample_482;0;0;1;0;0
sample_483;0;0;0;0;1
sample_484;1;0;0;0;0
sample_485;0;0;0;1;0
sample_486;0;0;0;0;1
sample_487;0;0;0;1;0
sample_488;1;0;0;0;0
sample_489;1;0;0;0;0
sample_490;0;1;0;0;0
sample_491;0;0;0;1;0
sample_492;0;0;1;0;0
sample_493;0;1;0;0;0
sample_494;0;0;0;1;0
sample_495;1;0;0;0;0
sample_496;0;0;0;0;1
sample_497;1;0;0;0;0
sample_498;1;0;0;0;0
sample_499;0;0;0;0;1
sample_500;1;0;0;0;0
sample_501;0;1;0;0;0
sample_502;1;0;0;0;0
sample_503;0;1;0;0;0
sample_504;0;0;1;0;0
sample_505;1;0;0;0;0
sample_506;1;0;0;0;0
sample_507;0;0;0;1;0
sample_508;0;0;0;1;0
sample_509;0;0;0;1;0
sample_510;0;1;0;0;0
sample_511;0;0;1;0;0
sample_512;0;0;0;1;0
sample_513;0;0;0;1;0
sample_514;1;0;0;0;0
sample_515;1;0;0;0;0
sample_516;0;0;1;0;0
sample_517;0;0;0;0;1
sample_518;0;0;0;1;0
sample_519;0;0;0;0;1
sample_520;1;0;0;0;0
sample_521;0;0;1;0;0
sample_522;1;0;0;0;0
sample_523;0;0;1;0;0
sample_524;0;0;1;0;0
sample_525;0;0;0;0;1
sample_526;0;0;0;0;1
sample_527;0;0;0;1;0
sample_528;1;0;0;0;0
sample_529;0;0;1;0;0
sample_530;0;1;0;0;0
sample_531;0;1;0;0;0
sample_532;1;0;0;0;0
sample_533;0;0;1;0;0
sample_534;0;0;1;0;0
sample_535;1;0;0;0;0
sample_536;1;0;0;0;0
sample_537;0;0;0;0;1
sample_538;0;0;1;0;0
sample_539;0;1;0;0;0
sample_540;1;0;0;0;0
sample_541;1;0;0;0;0
sample_542;0;1;0;0;0
sample_543;0;0;0;1;0
sample_544;1;0;0;0;0
sample_545;1;0;0;0;0
sample_546;1;0;0;0;0
sample_547;0;0;1;0;0
sample_548;0;0;0;0;1
sample_549;0;0;0;1;0
sample_550;0;0;0;1;0
sample_551;1;0;0;0;0
sample_552;0;0;1;0;0
sample_553;0;1;0;0;0
sample_554;0;0;1;0;0
sample_555;0;0;1;0;0
sample_556;1;0;0;0;0
sample_557;0;0;0;0;1
sample_558;0;0;0;1;0
sample_559;0;0;1;0;0
sample_560;1;0;0;0;0
sample_561;0;1;0;0;0
sample_562;0;0;0;1;0
sample_563;0;0;0;1;0
sample_564;0;0;0;1;0
sample_565;0;0;0;0;1
sample_566;0;0;0;1;0
sample_567;0;0;1;0;0
sample_568;1;0;0;0;0
sample_569;1;0;0;0;0
sample_570;0;1;0;0;0
sample_571;0;0;0;0;1
sample_572;1;0;0;0;0
sample_573;1;0;0;0;0
sample_574;1;0;0;0;0
sample_575;0;0;1;0;0
sample_576;0;0;0;1;0
sample_577;0;0;0;1;0
sample_578;1;0;0;0;0
sample_579;0;0;0;0;1
sample_580;0;0;0;1;0
sample_581;0;0;0;1;0
sample_582;1;0;0;0;0
sample_583;0;0;1;0;0
sample_584;0;0;0;0;1
sample_585;0;1;0;0;0
sample_586;0;0;0;1;0
sample_587;0;0;0;0;1
sample_588;0;1;0;0;0
sample_589;0;0;0;1;0
sample_590;0;1;0;0;0
sample_591;0;0;1;0;0
sample_592;0;0;1;0;0
sample_593;1;0;0;0;0
sample_594;1;0;0;0;0
sample_595;0;0;1;0;0
sample_596;0;0;1;0;0
sample_597;0;1;0;0;0
sample_598;1;0;0;0;0
sample_599;0;0;0;1;0
sample_600;0;0;0;0;1
sample_601;0;0;0;0;1
sample_602;0;0;1;0;0
sample_603;1;0;0;0;0
sample_604;0;0;0;1;0
sample_605;1;0;0;0;0
sample_606;1;0;0;0;0
sample_607;0;1;0;0;0
sample_608;1;0;0;0;0
sample_609;0;0;0;0;1
sample_610;0;0;0;0;1
sample_611;1;0;0;0;0
sample_612;1;0;0;0;0
sample_613;0;1;0;0;0
sample_614;1;0;0;0;0
sample_615;0;0;1;0;0
sample_616;1;0;0;0;0
sample_617;1;0;0;0;0
sample_618;0;1;0;0;0
sample_619;1;0;0;0;0
sample_620;0;0;0;0;1
sample_621;1;0;0;0;0
sample_622;1;0;0;0;0
sample_623;0;0;1;0;0
sample_624;0;0;0;0;1
sample_625;0;0;0;1;0
sample_626;1;0;0;0;0
sample_627;1;0;0;0;0
sample_628;0;0;1;0;0
sample_629;1;0;0;0;0
sample_630;1;0;0;0;0
sample_631;1;0;0;0;0
sample_632;1;0;0;0;0
sample_633;1;0;0;0;0
sample_634;0;1;0;0;0
sample_635;0;0;0;1;0
sample_636;0;0;0;1;0
sample_637;1;0;0;0;0
sample_638;1;0;0;0;0
sample_639;1;0;0;0;0
sample_640;0;0;0;0;1
sample_641;1;0;0;0;0
sample_642;1;0;0;0;0
sample_643;0;0;1;0;0
sample_644;0;0;0;1;0
sample_645;0;0;0;1;0
sample_646;0;0;1;0;0
sample_647;0;0;1;0;0
sample_648;0;0;0;1;0
sample_649;0;0;1;0;0
sample_650;0;1;0;0;0
sample_651;1;0;0;0;0
sample_652;0;1;0;0;0
sample_653;0;0;1;0;0
sample_654;1;0;0;0;0
sample_655;1;0;0;0;0
sample_656;0;0;0;0;1
sample_657;0;0;0;0;1
sample_658;0;0;0;0;1
sample_659;0;0;0;1;0
sample_660;0;0;0;0;1
sample_661;0;0;0;0;1
sample_662;0;1;0;0;0
sample_663;1;0;0;0;0
sample_664;1;0;0;0;0
sample_665;0;1;0;0;0
sample_666;0;0;0;1;0
sample_667;0;0;1;0;0
sample_668;1;0;0;0;0
sample_669;0;0;1;0;0
sample_670;0;1;0;0;0
sample_671;1;0;0;0;0
sample_672;1;0;0;0;0
sample_673;1;0;0;0;0
sample_674;0;0;0;0;1
sample_675;0;0;0;1;0
sample_676;0;0;1;0;0
sample_677;1;0;0;0;0
sample_678;0;0;0;0;1
sample_679;0;0;1;0;0
sample_680;0;0;0;0;1
sample_681;1;0;0;0;0
sample_682;0;0;0;1;0
sample_683;0;0;1;0;0
sample_684;0;0;0;0;1
sample_685;0;0;0;1;0
sample_686;0;0;0;0;1
sample_687;0;0;0;0;1
sample_688;1;0;0;0;0
sample_689;0;0;1;0;0
sample_690;0;0;0;0;1
sample_691;0;0;0;1;0
sample_692;0;1;0;0;0
sample_693;0;1;0;0;0
sample_694;1;0;0;0;0
sample_695;1;0;0;0;0
sample_696;1;0;0;0;0
sample_697;0;0;0;1;0
sample_698;0;0;1;0;0
sample_699;0;0;1;0;0
sample_700;0;0;1;0;0
sample_701;1;0;0;0;0
sample_702;0;0;0;1;0
sample_703;0;0;1;0;0
sample_704;0;0;0;0;1
sample_705;1;0;0;0;0
sample_706;0;0;0;1;0
sample_707;0;0;0;0;1
sample_708;1;0;0;0;0
sample_709;0;0;0;0;1
sample_710;1;0;0;0;0
sample_711;0;0;1;0;0
sample_712;1;0;0;0;0
sample_713;0;1;0;0;0
sample_714;0;0;0;0;1
sample_715;0;0;0;0;1
sample_716;0;0;1;0;0
sample_717;0;0;0;0;1
sample_718;0;0;1;0;0
sample_719;1;0;0;0;0
sample_720;0;0;0;1;0
sample_721;0;0;0;1;0
sample_722;1;0;0;0;0
sample_723;1;0;0;0;0
sample_724;0;0;1;0;0
sample_725;1;0;0;0;0
sample_726;1;0;0;0;0
sample_727;1;0;0;0;0
sample_728;1;0;0;0;0
sample_729;0;0;1;0;0
sample_730;0;0;1;0;0
sample_731;0;0;0;0;1
sample_732;0;1;0;0;0
sample_733;0;0;1;0;0
sample_734;1;0;0;0;0
sample_735;1;0;0;0;0
sample_736;0;0;1;0;0
sample_737;1;0;0;0;0
sample_738;0;0;0;1;0
sample_739;1;0;0;0;0
sample_740;1;0;0;0;0
sample_741;0;0;0;0;1
sample_742;1;0;0;0;0
sample_743;0;0;0;0;1
sample_744;1;0;0;0;0
sample_745;0;1;0;0;0
sample_746;1;0;0;0;0
sample_747;1;0;0;0;0
sample_748;0;0;1;0;0
sample_749;0;0;0;1;0
sample_750;1;0;0;0;0
sample_751;1;0;0;0;0
sample_752;0;0;0;0;1
sample_753;1;0;0;0;0
sample_754;0;0;0;0;1
sample_755;0;1;0;0;0
sample_756;1;0;0;0;0
sample_757;1;0;0;0;0
sample_758;1;0;0;0;0
sample_759;0;0;0;1;0
sample_760;1;0;0;0;0
sample_761;0;0;0;1;0
sample_762;1;0;0;0;0
sample_763;0;0;0;1;0
sample_764;0;0;1;0;0
sample_765;0;0;1;0;0
sample_766;0;1;0;0;0
sample_767;0;1;0;0;0
sample_768;1;0;0;0;0
sample_769;1;0;0;0;0
sample_770;1;0;0;0;0
sample_771;0;0;0;1;0
sample_772;1;0;0;0;0
sample_773;0;0;0;1;0
sample_774;0;0;1;0;0
sample_775;1;0;0;0;0
sample_776;0;0;0;1;0
sample_777;0;0;1;0;0
sample_778;0;0;0;1;0
sample_779;0;0;0;1;0
sample_780;0;0;0;1;0
sample_781;0;0;1;0;0
sample_782;1;0;0;0;0
sample_783;0;0;0;0;1
sample_784;1;0;0;0;0
sample_785;1;0;0;0;0
sample_786;0;0;1;0;0
sample_787;1;0;0;0;0
sample_788;0;0;0;0;1
sample_789;0;0;1;0;0
sample_790;1;0;0;0;0
sample_791;1;0;0;0;0
sample_792;1;0;0;0;0
sample_793;1;0;0;0;0
sample_794;0;0;0;0;1
sample_795;0;0;0;1;0
sample_796;1;0;0;0;0
sample_797;0;0;0;1;0
sample_798;0;1;0;0;0
sample_799;0;0;0;0;1
sample_800;0;0;0;0;1
